分类,相对路径,记录数,字段数,字段名,备注
战斗模拟器,analysis/game_rules/battle_deep/battle_simulator_start_path_summary.json,1,10,generated_at / conclusion / request_opcode_dec / request_opcode_hex / request_name / response_handler / request_builder / ui_controller / fields / formula_impact,开始战斗请求链路 JSON 汇总
战斗模拟器,analysis/game_rules/battle_deep/battle_start_field_refs.json,55,8,field / class / method / desc / code_off / off / op / out,模拟器开始战斗关键字段引用扫描
协议链路,analysis/game_rules/protocol_chain/network_send_calls.csv,40,12,class / method / desc / code_off / invoke_off / invoke / arg_regs / const_strings / const_ints / opcode_dec / opcode_hex / nearby_recent,DEX 网络发送入口原始扫描表
协议链路,analysis/game_rules/protocol_chain/network_send_calls_classified.csv,40,13,category / class / method / desc / code_off / invoke_off / invoke / arg_regs / const_strings / const_ints / opcode_dec / opcode_hex / nearby_recent,DEX 网络发送入口按基础机制模块分类表
协议链路,analysis/game_rules/protocol_chain/network_send_calls.json,40,3,generated_at / count / rows,DEX 网络发送入口 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/role_fief_request_fields.csv,7,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,reqRoleInfo/reqRoleFiefList 请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/role_fief_response_fields.csv,50,10,protocol / response_opcode_hex / handler / group / order / field / io / evidence / meaning / confidence,reqRoleInfo 响应成功体与 p.T 三大列表响应字段顺序
协议链路,analysis/game_rules/protocol_chain/role_fief_protocol_summary.json,1,3,generated_at / protocols / notes,角色详情/封地列表协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/bath_add_army_request_fields.csv,3,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,reqBathAddArmy 批量补兵请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/bath_add_army_response_fields.csv,10,10,protocol / response_opcode_hex / handler / group / order / field / io / evidence / meaning / confidence,reqBathAddArmy 0x8229 响应字段顺序
协议链路,analysis/game_rules/protocol_chain/bath_add_army_protocol_summary.json,1,11,generated_at / protocol / request_opcode_hex / request_opcode_dec / response_opcode_hex / request_method / response_handler / ui_callers / request_fields / response_fields / key_conclusions,reqBathAddArmy 批量补兵协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/fief_move_request_fields.csv,6,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,fiefMove 迁封请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/fief_move_response_fields.csv,15,10,protocol / response_opcode_hex / handler / group / order / field / io / evidence / meaning / confidence,fiefMove 0x8212 响应字段顺序与错误码映射
协议链路,analysis/game_rules/protocol_chain/fief_move_protocol_summary.json,1,11,generated_at / protocol / request_opcode_hex / request_opcode_dec / response_opcode_hex / request_method / response_handler / ui_callers / request_fields / response_fields / key_conclusions,fiefMove 迁封协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/fighting_city_request_fields.csv,6,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,reqFightingCity 0x1012 请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/fighting_city_response_fields.csv,31,11,protocol / response_opcode_hex / handler / group / order / field / io / target_cache / evidence / meaning / confidence,0x8012 -> s0.S 城池战斗目标响应字段顺序
协议链路,analysis/game_rules/protocol_chain/fighting_city_protocol_summary.json,1,14,generated_at / protocol / request_opcode_hex / request_opcode_dec / response_opcode_hex / response_opcode_dec_unsigned / response_opcode_dec_signed / request_method / response_handler / dispatcher_evidence / related_initial_cache / request_fields / response_fields / key_conclusions,reqFightingCity 城池战斗入口协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/flush_city_initial_cache_fields.csv,34,11,protocol / response_opcode_hex / handler / group / order / field / io / target_cache / evidence / meaning / confidence,0x800D/flushCitys 城池地图初始缓存字段顺序
协议链路,analysis/game_rules/protocol_chain/flush_city_initial_cache_summary.json,1,11,generated_at / protocol / response_opcode_hex / response_opcode_dec_unsigned / response_opcode_dec_signed / dispatcher / raw_payload_sink / parser / fields / record_field_count / key_conclusions,0x800D/flushCitys 城池地图初始缓存 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/gain_award_request_fields.csv,4,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,reqGainAward 0x1134 请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/gain_award_response_fields.csv,43,11,protocol / response_opcode_hex / handler / group / order / field / io / target_cache / evidence / meaning / confidence,0x8134 -> m0.u/m0.n 奖励领取响应字段顺序
协议链路,analysis/game_rules/protocol_chain/gain_award_protocol_summary.json,1,14,generated_at / protocol / request_opcode_hex / request_opcode_dec / response_opcode_hex / response_opcode_dec_unsigned / response_opcode_dec_signed / request_method / response_handler / common_award_list_parser / dispatcher_evidence / request_fields / response_fields / key_conclusions,reqGainAward 奖励领取协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/city_trait_levelup_request_fields.csv,4,9,protocol / opcode_hex / method / order / field / io / evidence / meaning / confidence,reqCityTraitLevelUp 0x1324 请求体字段顺序
协议链路,analysis/game_rules/protocol_chain/city_trait_levelup_response_fields.csv,16,11,protocol / response_opcode_hex / handler / group / order / field / io / target_cache / evidence / meaning / confidence,0x8324 -> k.d1/k.m1 城池特性升级响应字段顺序
协议链路,analysis/game_rules/protocol_chain/city_trait_levelup_protocol_summary.json,1,14,generated_at / protocol / request_opcode_hex / request_opcode_dec / response_opcode_hex / response_opcode_dec_unsigned / response_opcode_dec_signed / request_method / response_handler / success_sync_parser / dispatcher_evidence / request_fields / response_fields / key_conclusions,reqCityTraitLevelUp 城池特性升级协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/network_d0_send_calls.csv,251,10,class / method / desc / code_off / invoke_off / opcode_dec_near / opcode_hex_near / strings / writes / context,"Lo/a.d0(S,[B) 发送入口扫描表，补充 game.g->y 路由盲区"
协议链路,analysis/game_rules/protocol_chain/network_d0_send_calls.json,1,3,generated_at / count / rows,"Lo/a.d0(S,[B) 发送入口 JSON 汇总"
协议链路,analysis/game_rules/protocol_chain/fief_building_protocol_entries.csv,5,10,category / protocol / opcode_hex / opcode_dec / method / direction / fields / evidence / meaning / confidence,普通封地建筑/建设协议入口第一版
协议链路,analysis/game_rules/protocol_chain/fief_building_protocol_entries_summary.json,1,5,generated_at / scope / entries / new_route_table / key_conclusions,普通封地建筑/建设协议入口 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/fief_building_action_fields.csv,24,12,category / protocol / opcode_hex / opcode_dec / method / direction / order / field / io / evidence / meaning / confidence,普通封地建筑动作协议字段、调用语义与响应字段第一版
协议链路,analysis/game_rules/protocol_chain/fief_building_action_summary.json,1,7,generated_at / scope / primary_protocols / action_code_findings / response_handlers / rows / key_conclusions,普通封地建筑动作协议 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/fief_building_sync_fields.csv,58,9,block / order / field / io / target_cache / evidence / meaning / confidence / notes,封地建筑同步块 Z5/Y5/k1/j1/T5 字段顺序第一版
协议链路,analysis/game_rules/protocol_chain/fief_building_sync_summary.json,1,6,generated_at / scope / entry_points / key_cache_semantics / fields / key_conclusions,封地建筑同步块 JSON 汇总
协议链路,analysis/game_rules/protocol_chain/fief_sync_field_refs.json,1,20,Pv / Qv / Rv / Sv / Tv / Uv / Vv / Wv / Bv / Cv / Dv / Ev / Fv / Gv / Hv / Iv / Jv / xv / ov / Ov,封地建筑同步相关 Lo/a 字段引用索引
规则表,analysis/game_rules/tables/parsed/building_level_rules_report.md,73,1,markdown,普通建筑每级规则数值报告
规则表,analysis/game_rules/tables/parsed/building_tail_headers.csv,8,11,id / 名称 / 最大等级 / 前置建筑ID / 描述 / 图片ID列表 / tail_header_flag / tail_label_a_le / tail_label_b_le / prereq_row_count / offset,scriptBuilding.sc 建筑尾部头字段
规则表,analysis/game_rules/tables/parsed/building_level_prereq_rules.csv,100,12,building_id / 名称 / level / req_primary_building_id_be / req_primary_level_byte / req_role_or_gate_level_byte / req_secondary_building_id_be / req_secondary_level_byte / req_tertiary_building_id_be / req_tertiary_level_byte / tail_flag_u32_be / raw,普通建筑每级前置/门槛原始行
规则表,analysis/game_rules/tables/parsed/building_level_cost_rules.csv,100,8,building_id / 名称 / level / cost_copper_or_A / cost_food_or_B / cost_extra_or_C / build_time_seconds / raw,普通建筑每级升级成本与耗时
规则表,analysis/game_rules/tables/parsed/building_level_effect_rules.csv,45,7,building_id / 名称 / level / effect_a / effect_b / effect_c / raw,大厅/房屋/农场每级效果值
规则表,analysis/game_rules/tables/parsed/building_level_unlock_rules.csv,40,5,building_id / 名称 / level / unlock_tier_or_soldier_stage / raw,兵营等级到解锁阶段映射
规则表,analysis/game_rules/tables/parsed/building_level_rules_combined.csv,100,13,building_id / 名称 / level / cost_copper_or_A / cost_food_or_B / cost_extra_or_C / build_time_seconds / effect_a / effect_b / effect_c / unlock_tier_or_soldier_stage / req_primary_level_byte / req_role_or_gate_level_byte,普通建筑每级规则合并表
规则表,analysis/game_rules/tables/parsed/building_level_rules_summary.json,1,11,generated_at / source / record_count / tail_schema / files / buildings / sample_cost_rows / sample_effect_rows / sample_unlock_rows / parse_notes / key_conclusions,普通建筑每级规则 JSON 汇总
规则表,analysis/game_rules/tables/parsed/building_prereq_field_mapping_report.md,55,1,markdown,建筑前置条件字段命名报告
规则表,analysis/game_rules/tables/parsed/building_level_prereq_rules_named.csv,100,13,building_id / 名称 / level / pn_req_building_or_param / qn_req_level_for_un / rn_req_role_or_gate_level / sn_req_building_or_param2 / tn_req_level2_or_flag / un_required_building_type_for_q_l / vn_int_param / trailing_flag_byte / client_accessors / raw,按 Lo/a.U5 真实读流命名的建筑前置条件行
规则表,analysis/game_rules/tables/parsed/building_prereq_field_mapping_summary.json,1,6,generated_at / source / u5_evidence / field_mapping / stats / key_conclusions,建筑前置字段映射 JSON 汇总
规则表,analysis/game_rules/tables/parsed/building_level_rules_combined_named.csv,100,19,building_id / 名称 / level / cost_copper_or_A / cost_food_or_B / cost_extra_or_C / build_time_seconds / effect_a / effect_b / effect_c / unlock_tier_or_soldier_stage / pn_req_building_or_param / qn_req_level_for_un / rn_req_role_or_gate_level / sn_req_building_or_param2 / tn_req_level2_or_flag / un_required_building_type_for_q_l / vn_int_param / trailing_flag_byte,普通建筑每级规则命名版合并表
规则表,analysis/game_rules/tables/parsed/building_effect_queue_field_mapping_report.md,62,1,markdown,建筑产出/人口/征兵队列字段命名报告
规则表,analysis/game_rules/tables/parsed/building_level_effect_rules_named.csv,45,7,building_id / 名称 / level / copper_output_D1_En / food_output_F1_Fn / population_capacity_P1_Gn / raw,建筑产出/人口效果命名版表
规则表,analysis/game_rules/tables/parsed/building_recruit_queue_rules_named.csv,40,5,building_id / 名称 / level / recruit_queue_count_N1_Hn / raw,兵营征兵队列数量命名版表
规则表,analysis/game_rules/tables/parsed/building_level_rules_server_ready.csv,100,15,building_id / 名称 / level / upgrade_cost_copper_candidate / upgrade_cost_food_candidate / upgrade_cost_extra_candidate / upgrade_time_seconds_candidate / copper_output_D1_En / food_output_F1_Fn / population_capacity_P1_Gn / recruit_queue_count_N1_Hn / qn_required_level_for_un / rn_role_or_gate_level_candidate / un_required_building_type / trailing_high_level_flag_candidate,服务端重建可用普通建筑等级规则合并表
规则表,analysis/game_rules/tables/parsed/building_effect_queue_field_mapping_summary.json,1,4,generated_at / accessor_mapping / files / key_conclusions,建筑产出/征兵队列字段命名 JSON 汇总
协议/封地,analysis/game_rules/protocol_chain/building_output_formula_fields.csv,21,9,area / source_method / offset_or_evidence / raw_field_or_call / confirmed_name / wire_type_or_storage / semantics / confidence / server_rebuild_note,建筑产出最终显示值、临时增产状态和队列字段命名第一版
协议/封地,analysis/game_rules/protocol_chain/building_output_formula_summary.json,1,6,topic / status / created_at / confirmed / not_yet_fully_recovered / key_files,建筑产出公式链路第一版 JSON 汇总
协议/封地,analysis/game_rules/protocol_chain/building_output_formula_report.md,1,0,,建筑产出/人口/队列公式与字段整理报告
协议/封地,analysis/game_rules/protocol_chain/building_output_formula_refs.md,1,0,,建筑产出相关方法/字段引用索引
协议/出征战斗,analysis/game_rules/protocol_chain/expedition_protocol_report.md,1,0,,出征/战斗结算协议第一版报告
协议/出征战斗,analysis/game_rules/protocol_chain/expedition_request_fields.csv,19,12,flow / opcode_hex / opcode_dec / method / offset / order / field / io / type / meaning / evidence / server_rebuild_note,出征、山贼、战报、战斗回放请求字段表
协议/出征战斗,analysis/game_rules/protocol_chain/expedition_response_fields.csv,16,11,flow / method / offset / order / field / io / type / condition / meaning / evidence / server_rebuild_note,出征响应、状态快照、战报/战斗回放响应字段骨架
协议/出征战斗,analysis/game_rules/protocol_chain/expedition_protocol_summary.json,1,9,title / date / scope / confirmed_opcodes / expedition_success_response / expedition_type_labels / state_labels / server_rebuild_implications / unknowns,出征/战斗结算协议 JSON 汇总
协议/出征战斗,analysis/game_rules/protocol_chain/method_disasm_expedition/expedition_extra_methods_summary.md,1,0,,出征相关补充方法反汇编摘要
战法/战斗,analysis/game_rules/battle_deep/battle_formula_coordinate_status_report.md,1,0,,战斗公式/蓄力/坐标状态汇总报告
战法/战斗,analysis/game_rules/battle_deep/battle_formula_coordinate_status.csv,7,7,topic / status / confidence / confirmed / not_confirmed / evidence / server_rebuild_note,战斗公式/蓄力/坐标恢复状态表
战法/战斗,analysis/game_rules/battle_deep/battle_formula_coordinate_status_summary.json,1,6,title / date / key_conclusion / rows / important_files / server_rebuild_priority,战斗公式/蓄力/坐标 JSON 摘要
山贼/地图,analysis/game_rules/bandit_system/bandit_system_report.md,1,0,,山贼系统规则第一版报告
山贼/地图,analysis/game_rules/bandit_system/bandit_all_unique_enriched.csv,5224,14,target_id / level / x / y / desc / resource1 / resource2 / loot_ids / loot_names / unit_count / unit_categories / units / query_x / query_y,全等级山贼去重表增强版
山贼/地图,analysis/game_rules/bandit_system/bandit_level_stats.csv,10,14,level / count / resource1_min / resource1_max / resource1_avg / resource2_min / resource2_max / resource2_avg / unit_count_min / unit_count_max / unit_count_values / top_desc / unit_categories_seen / top_loot_ids,山贼按等级统计资源/守军/描述
山贼/地图,analysis/game_rules/bandit_system/bandit_unit_category_combo_stats.csv,37,3,level / unit_category_combo / count,山贼守军大类组合统计
山贼/地图,analysis/game_rules/bandit_system/bandit_loot_id_mapping.csv,91,7,loot_id / seen_count / levels_seen / level_counts / item_name / item_type_label / item_desc,山贼掉落ID频次表
山贼/地图,analysis/game_rules/bandit_system/bandit_loot_id_mapping_enriched.csv,91,8,loot_id / seen_count / levels_seen / level_counts / item_name / item_type_label / item_desc / decode_candidates,山贼掉落ID编码候选映射表
山贼/地图,analysis/game_rules/bandit_system/level7_all_units_raw.csv,596,12,target_id / x / y / desc / resource1 / resource2 / loot_ids / major_codes / majors / units / query_x / query_y,修正后的7级山贼守军大类明细
山贼/地图,analysis/game_rules/bandit_system/level7_pure_archer_major.csv,4,8,target_id / x / y / desc / resource1 / resource2 / loot_ids / units,7级纯弓弩大类山贼坐标
山贼/地图,analysis/game_rules/bandit_system/bandit_system_summary.json,1,11,date / topic / source_files / scan_scope / request_protocol / level_stats / loot_rows_count / level7_summary / generated_files / data_scope_note / loot_id_encoding_note,山贼系统第一版 JSON 汇总
资源系统,analysis/game_rules/resource_system/resource_system_report.md,1,0,,资源系统第一版报告
资源系统,analysis/game_rules/resource_system/resource_field_mapping.csv,26,8,scope / field / io/source / type / meaning / confidence / evidence / server_rebuild_note,资源字段命名与证据表
资源系统,analysis/game_rules/resource_system/resource_sync_chains.csv,10,7,chain / method / offset / direction / read/write sequence / effect / confidence,资源同步链路表
资源系统,analysis/game_rules/resource_system/resource_system_summary.json,1,6,date / topic / key_conclusions / generated_files / important_methods / unknowns,资源系统第一版 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/storage_offline_field_mapping.csv,12,6,领域 / 客户端字段/方法 / 证据位置 / 当前判定 / 置信度 / 说明/重建建议,仓储/离线/资源点候选字段映射
资源系统,analysis/game_rules/storage_offline_system/resource_point_protocol_fields.csv,47,7,结构 / 字段序号 / 客户端字段 / 读取类型 / 当前语义候选 / 置信度 / 证据/备注,资源点 reqResourceList 与列表/详情协议字段骨架
资源系统,analysis/game_rules/storage_offline_system/storage_offline_summary.json,1,8,date / topic / scope / key_conclusions / important_methods / generated_files / server_rebuild_recommendations / unknowns,仓储/离线/资源点第一版 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/resource_point_field_semantics_report.md,1,0,,资源点/攻城目标字段语义深追第一版报告
资源系统,analysis/game_rules/storage_offline_system/resource_point_field_semantics.csv,24,9,语义分组 / 显示标签/用途 / p.f字段 / p.c1同构字段 / 读取类型 / 语义判定 / 置信度 / 关键证据 / 服务端重建建议,资源点/攻城目标字段语义映射表
资源系统,analysis/game_rules/storage_offline_system/resource_point_field_semantics_summary.json,1,8,date / topic / scope / key_findings / confidence_notes / generated_files / important_evidence / remaining_unknowns,资源点/攻城目标字段语义深追 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/resource_point_remaining_fields_report.md,1,0,,资源点/攻城目标剩余字段与道路城墙语义补充报告
资源系统,analysis/game_rules/storage_offline_system/resource_point_remaining_fields.csv,12,8,字段组 / p.f字段 / p.c1同构字段 / 静态引用情况 / 语义结论 / 置信度 / 证据 / 服务端重建建议,资源点/攻城目标剩余字段语义补充表
资源系统,analysis/game_rules/storage_offline_system/resource_point_remaining_fields_summary.json,1,6,date / topic / key_findings / generated_files / evidence / remaining_unknowns,资源点/攻城目标剩余字段语义补充 JSON 汇总
