protocol,response_opcode_hex,handler,group,order,field,io,evidence,meaning,confidence
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.6,F4..M4/L4[i],readInt*8 + ignored int,p.T 00015e-0001de,资源/兵力/数值类字段组；另有一个 readInt 未保存,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.7,"O4[i],N4[i]","readShort,readShort",p.T 0001e4-000200,两个 short 数值候选,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.8,"P4[i],Q4[i],R4[i],S4[i]","readUTF,readByte,readUTF,readUTF",p.T 000204-000240,文本/标志/文本/文本字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.9,"ignored_short,ignored_long,T4[i]","readShort,readLong,readByte",p.T 000244-00025c,扩展字段，其中 T4 保存为 byte,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.10,U4[i][0..1],readByte*2,p.T 000260-000284,每条目两个 byte 子字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.11,V4[i][0..2],readLong*3,p.T 000288-0002b4,每条目三个 long 子字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_count,2,count_B,readByte,p.T 0002c0-000320,第二组列表数量；随后创建 m4..w4 数组,中高
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.1,m4[i],readLong,p.T 000326-000332,第二组条目 ID,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.2,"n4[i],p4[i]","readUTF,readUTF",p.T 000336-000352,名称/描述类两个文本字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.3,q4[i],readByte,p.T 000356-000362,字节标志,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.4,s4[i],readUTF,p.T 000366-000372,文本字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.5,"o4[i],t4[i],r4[i]","readByte,readByte,derived",p.T 000376-0003b6,若 t4>=100 则 t4-=100 且 r4=1，疑似特殊标记编码,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.6,u4[i],readUTF,p.T 0003ba-0003c6,文本字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_B_items,B.7,"v4[i],w4[i]","readShort,readShort",p.T 0003ca-0003e6,两个 short 数值/坐标候选,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_C_count,3,count_C,readByte,p.T 0003f0-000480,第三组列表数量；随后创建 W4..m5 和多层子数组,中高
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_C_items,C.1,"W4[i],X4[i],Y4[i],Z4[i],a5[i]","readLong,readUTF,readByte,readShort,readShort",p.T 000486-0004d2,第三组基础条目字段,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_C_items,C.2,optional b5/c5/d5/e5,"readByte gate + UTF,UTF,int,int",p.T 0004d6-00051e,存在标志非 0 时读取扩展文本/数值,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_C_items,C.3,f5/g5 nested pairs,"count byte + (byte,byte)*N",p.T 000522-000574,第一类子列表，每项两个 byte,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_C_items,C.4,h5/j5/i5/k5/l5/m5 nested records,"count byte + (UTF,short,byte,byte,byte,int)*N",p.T 000576-000648,第二类子列表，疑似驻军/将领/资源明细,中
