category,protocol,opcode_hex,opcode_dec,method,direction,order,field,io,evidence,meaning,confidence
建筑道具/加速,buildItemUse,dynamic,dynamic,"LscriptPages/game/q;->d(int,long,int,long,short)",request,1,fief_id,writeLong,q.d 00000a writeLong(v2/v3); callers pass q.o,目标封地 ID。,高
建筑道具/加速,buildItemUse,dynamic,dynamic,"LscriptPages/game/q;->d(int,long,int,long,short)",request,2,building_pos_or_type,writeShort,q.d 000010-000012; callers often pass o3[l3],建筑位置/建筑类型/被加速对象类型 short。,中
建筑道具/加速,buildItemUse,dynamic,dynamic,"LscriptPages/game/q;->d(int,long,int,long,short)",request,3,item_or_task_id,writeLong,"q.d 000018 writeLong(v5/v6); callers pass H1(p,a0)",建筑实例、队列任务或道具目标 ID。,中
建筑道具/加速,buildItemUse,dynamic,dynamic,"LscriptPages/game/q;->d(int,long,int,long,short)",request,4,item_count_or_param,writeShort,q.d 00001e writeShort(v7); q.K1 early calls pass 1; 鲁公/招募令分支 pass h3,使用数量/道具参数。,中
建筑道具/加速语义,buildItemUse_build_speed,0x1208,4616,q.K1(boolean) -> q.d(...),request_callsite,1,"opcode=4616; fief_id=q.o; object=o3[l3]; target=H1(p,a0); count=1",call q.d,"q.t1 buildPop_speed sets S0(0,4616); q.K1 0002c0-0002fc sends q.d(4616,...)",建筑/建造任务加速或使用建筑加速道具候选。,中
建筑道具/加速语义,buildItemUse_recruit_speed,0x1240,4672,q.K1(boolean) -> q.d(...),request_callsite,2,opcode=q.k3=4672; count=1 or h3,call q.d,q.K1 text di_联网加速招募; calls q.d around 0004d6 and later h3 branch,招募加速/招募令使用候选。,中
建筑道具/加速语义,buildItemUse_tech_speed,0x120B,4619,q.K1(boolean) -> q.d(...),request_callsite,3,opcode=q.k3=4619; count=1,call q.d,q.K1 0004e0-000524; string di_联网科技加速,科技研究加速。属于封地建筑 UI 的道具入口，但业务对象是科技。,中高
建筑响应,fief_building_result,0x8200,33280 unsigned / -32256 signed,LscriptPages/game/q;->i(String),response,1,status,readByte,q.i 000000 readByte; dispatcher evidence in fief_building_protocol_entries_report,建筑动作结果码；0/6 为成功/刷新分支，其余映射为失败原因。,中高
建筑响应,fief_building_result,0x8200,33280 unsigned / -32256 signed,LscriptPages/game/q;->i(String),response,2,substatus,readByte,q.i 000008 readByte,子状态/辅助结果 byte；当前客户端未直接命名。,中
建筑响应,fief_building_result,0x8200,33280 unsigned / -32256 signed,LscriptPages/game/q;->i(String),response,3,fief_id,readLong,q.i 00000e readLong; 000016 Lo/a.p3(fief_id),被更新封地 ID。若本地不存在则调用 Lo/a.j1 解析新增/更新块。,中高
建筑响应,fief_building_result,0x8200,33280 unsigned / -32256 signed,LscriptPages/game/q;->i(String),response,4,fief_building_update_block,Lo/a.j1(String) nested,"q.i 000022 Lo/a.j1(fief_id, stream); q.i 000210 success calls q.s0()",封地建筑数据同步块。具体 j1 内部字段另需单独深追。,中
建筑响应,buildQueueAdd_result,0x8206,33286 unsigned / -32250 signed,LscriptPages/game/q;->e(String),response,1,status,readByte,q.e 000000 readByte,队列/相关操作结果。-1 走全局同步，0 走成功同步，否则显示增加失败。,中
建筑响应,buildQueueAdd_result,0x8206,33286 unsigned / -32250 signed,LscriptPages/game/q;->e(String),response,2,global_sync_when_minus1,Lo/a.Z5 + data.b.L,q.e 00000a-000014,status=-1 时读取全局/资源同步块。,中
建筑响应,buildQueueAdd_result,0x8206,33286 unsigned / -32250 signed,LscriptPages/game/q;->e(String),response,3,success_sync_when_zero,Lo/a.V5; readLong; readByte; Lo/a.k1,q.e 00001c-000046,status=0 时同步封地、建筑队列/剩余时间等，并提示“增加建筑列队成功”。,中高
