protocol,response_opcode_hex,handler,group,order,field,io,target_cache,evidence,meaning,confidence
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.7,category_1_received_record_name[j],readUTF,m0.n0[cat][available_count+j],m0.n 0001dc-0001ec,第二组记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.8,category_1_received_record_flag[j],readBoolean,m0.o0[cat][available_count+j],m0.n 0001f0-000200,第二组记录布尔标记。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.1,category_2_available_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下可领取/未领取记录数。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.2,category_2_received_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下已领取/另一状态记录数；与 available_count 合并分配数组。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.3,category_2_available_record_id[i],readLong,m0.m0[cat][i],m0.n 000166-000176,可领取记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.4,category_2_available_record_name[i],readUTF,m0.n0[cat][i],m0.n 00017a-00018a,可领取记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.5,category_2_available_record_flag[i],readBoolean,m0.o0[cat][i],m0.n 00018e-00019e,可领取记录布尔标记；同时 p0[cat][i]=1 且 w0++。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.6,category_2_received_record_id[j],readLong,m0.m0[cat][available_count+j],m0.n 0001c4-0001d8,第二组记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.7,category_2_received_record_name[j],readUTF,m0.n0[cat][available_count+j],m0.n 0001dc-0001ec,第二组记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.3.8,category_2_received_record_flag[j],readBoolean,m0.o0[cat][available_count+j],m0.n 0001f0-000200,第二组记录布尔标记。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.1,category_3_available_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下可领取/未领取记录数。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.2,category_3_received_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下已领取/另一状态记录数；与 available_count 合并分配数组。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.3,category_3_available_record_id[i],readLong,m0.m0[cat][i],m0.n 000166-000176,可领取记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.4,category_3_available_record_name[i],readUTF,m0.n0[cat][i],m0.n 00017a-00018a,可领取记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.5,category_3_available_record_flag[i],readBoolean,m0.o0[cat][i],m0.n 00018e-00019e,可领取记录布尔标记；同时 p0[cat][i]=1 且 w0++。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.6,category_3_received_record_id[j],readLong,m0.m0[cat][available_count+j],m0.n 0001c4-0001d8,第二组记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.7,category_3_received_record_name[j],readUTF,m0.n0[cat][available_count+j],m0.n 0001dc-0001ec,第二组记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.4.8,category_3_received_record_flag[j],readBoolean,m0.o0[cat][available_count+j],m0.n 0001f0-000200,第二组记录布尔标记。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.9,list_trailer_or_version,readShort,ignored/control,m0.n 0002a6,4 个分类同步完后读取一个 short，当前客户端不直接使用，疑似版本/分页/保留字段。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.1,player_attr_byte,readByte,data.i.C(value),m0.u 000020-000028,仅 status==0 时读取；调用 data.i.C(int) 更新一个角色/玩家属性 byte。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.2,player_i,readLong,data.i.i,m0.u 00002e-000036,仅 status==0 时读取；玩家数值 long，同步到 data.i.i。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.3,player_d,readLong,data.i.d,m0.u 00003a-000042,仅 status==0 时读取；玩家数值 long，同步到 data.i.d。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.4,player_e,readLong,data.i.e,m0.u 000046-00004e,仅 status==0 时读取；玩家数值 long，同步到 data.i.e。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.5,global_H,readLong,data.g.H,m0.u 000052-00005a,仅 status==0 时读取；全局/资源类 long，同步到 data.g.H。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),success_block,3.6,extra_sync_block,Lo/a.V5(String),Lo/a shared state,m0.u 00005e,仅 status==0 时调用 Lo/a.V5 读取额外同步块；通常用于资源/背包/玩家状态同步。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),message,4,message,readUTF,toast/dialog text,m0.u 0000d4-0000ec,"领取结果提示文本；空字符串时客户端替换为“失败”。成功时会拼接“领取成功!
”前缀。",高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),ui_followup,5,ui_refresh_by_context,control flow,m0.C0 / m0.G / m0.J / PageMain status,m0.u 000076-00027e,根据请求 award_id、页面状态、m0.G/m0.J 刷新活动、奖励页、充值奖励、HD 弹窗等 UI；不再读取网络字段。,中
