seq,campaign,stage,title,objective,enemy_summary,enemy_total,reward_summary,location,scene_files,story,string_count,offset_start
70,6,7,袁绍下战书,击败袁绍先锋,重步兵*3000/铁骑兵*2000/骁骑兵*1500/弩骑兵*1500/强弩车*600,8600,装备/青铜钥匙/壮军鼓,,6-7-1.sc/6-7-3.sc,刘备走脱后几个月，河北传来消息，袁绍消灭了公孙瓒，统治整个河北，但野心依旧不断膨胀，准备进攻许昌以夺取献帝。,7,0xa009
71,6,8,白马之战,打败吕威璜,重步兵*2500/铁骑兵*2500/近卫兵*1500/强弩兵*1200/强弩兵*1200,8900,装备/青铜钥匙/壮军鼓,,6-8-1.sc/6-8-3.sc,我军击败袁绍先锋部队后，急忙继续朝着白马进军，与颜良展开正面交锋。,7,0xa2af
72,6,9,关羽战颜良,击败颜良,骁骑兵*1500/铁骑兵*2000/铁骑兵*2000/近卫兵*1500/弩骑兵*1500,8500,装备/青铜钥匙/壮军鼓,,6-9-1.sc/6-9-3.sc,你在与颜良交手后力怯而撤，固守城中，此时程昱建议召关羽前来斩灭颜良。,7,0xa511
73,6,10,逐兵白马,击退颜良残军,重步兵*3000/近卫兵*1000/铁骑兵*2000/强弩兵*1500/重弩车*1000,8500,装备/青铜钥匙/壮军鼓,,6-10-1.sc/6-10-3.sc,关羽斩灭了颜良之后，我军趁势收复白马，将袁绍军队驱逐出兖州。,7,0xa776
74,6,11,延津之战,击败文丑副将眭元进,重步兵*2000/近卫兵*2500/铁骑兵*1500/铁骑兵*1500/弩骑兵*1500,9000,装备/青铜钥匙/壮军鼓,,6-11-1.sc/6-11-3.sc,袁绍得知颜良遭到斩灭后，驱另一大将文丑前来复仇，并且从另一侧直接进攻延津，曹操令我军立即调头前往延津。,7,0xa9d4
75,,,败文丑,消灭文丑,重步兵*3000/骁骑兵*4500/铁骑兵*3600/弩骑兵*4000/重弩车*2000,17100,装备/八阵图/将神魂,,,我军突入延津，文丑亲自率军前来围剿，此时面对着与颜良一样强的文丑，意味着一场艰难的战斗到来了。,5,0xac7a
76,7,1,袁绍兴兵,营救曹操,近卫兵*1500/近卫兵*1500/骁骑兵*1000/强弩兵*2000/铁骑兵*2000,8000,装备/特级行军符/玄铁/乌桓地图,,7-1-1.sc/7-1-3.sc,袁绍大将颜良、文丑先后被曹军所灭，袁绍愤怒之下决定亲自领兵前来官渡与曹操决战，曹操率军迎战，但却败兵，遭到了袁绍军的追击。,7,0xaef4
77,7,2,奇袭袁绍,击败袁绍先锋军,重步兵*2500/重步兵*2500/弩骑兵*1500/重弩车*800/铁骑兵*1500,8800,装备/特级行军符/玄铁/乌桓地图,,7-2-1.sc/7-2-3.sc,曹军和袁军交战，首战告负，袁军以强大兵力压制着曹军，你决定奇袭袁军以振士气。,7,0xb1b4
78,7,3,劫兵粮,击败韩猛,重步兵*2500/骁骑兵*2000/铁骑兵*1500/铁骑兵*1500/铁骑兵*1500,9000,装备/特级行军符/玄铁/乌桓地图,,7-3-1.sc/7-3-3.sc,曹操和我军的联军获胜后士气得到振奋，此时获得细作来报，袁绍军韩猛正在押运粮草途中，曹操计划前去劫粮。,7,0xb437
79,7,4,许攸献计,击败乌巢守备军,近卫兵*2000/骁骑兵*1600/铁骑兵*1800/弩骑兵*1600/重弩车*1000,8000,装备/特级行军符/玄铁/乌桓地图,,7-4-1.sc/7-4-3.sc,许攸因其侄在冀州受贿，遭到袁绍的驱逐，决定前来投靠曹操，并献计劫乌巢。,7,0xb6d3
80,7,5,火烧乌巢,击败援军,近卫兵*2000/铁骑兵*2500/铁骑兵*2500/强弩兵*1000/弩骑兵*800,8800,装备/特级行军符/玄铁/乌桓地图,,7-5-1.sc/7-5-3.sc,我军成功伪装潜入了乌巢内部，并纵火烧粮，袁绍大怒，发兵前来支援乌巢。,7,0xb94e
81,7,6,反守为攻,攻下袁绍军大营,重步兵*2500/近卫兵*1500/骁骑兵*1000/铁骑兵*1500/强弩兵*2500,9000,装备/精铁宝箱/乌桓地图,官渡,7-6-1.sc/7-6-3.sc,袁绍乌巢被烧，士气低落，曹操认为反守为攻的时机已到，命我军起兵进攻袁绍。,8,0xbbbc
82,7,7,大战仓亭,消灭蒋义渠军,近卫兵*1500/骁骑兵*2000/骁骑兵*2000/铁骑兵*1500/弩骑兵*1500,8500,装备/精铁宝箱/乌桓地图,,7-7-1.sc/7-7-3.sc,袁绍败走，至仓亭，与冀州部下汇合，集结部队，意图反击。为了不给袁绍喘息之机，我军决定独自突袭袁绍。,7,0xbe36
83,7,8,诈败施计,打败袁谭先锋将吕旷,重步兵*2000/弩骑兵*1000/铁骑兵*2000/铁骑兵*2000/强弩兵*1500,8500,装备/精铁宝箱/乌桓地图,,7-8-1.sc/7-8-3.sc,袁绍已死，其子袁谭领兵前来讨伐，你向曹操提议可与袁谭交战诈败，使袁尚与袁谭争夺继承权，从而趁虚进攻冀州。,7,0xc0ce
84,7,9,攻占冀州,击败袁谭,重步兵*2500/骁骑兵*1500/铁骑兵*2000/弩骑兵*1000/强弩兵*2000,9000,装备/精铁宝箱/乌桓地图,,7-9-1.sc/7-9-3.sc,袁谭、袁尚为争继承权而互战，冀州处于极度混乱之中，郭嘉进言此时攻占冀州是最佳时机。,7,0xc378
85,7,10,进军南皮,剿灭袁谭,重步兵*2000/重步兵*2000/骁骑兵*1500/骁骑兵*1500/弩骑兵*2000/重弩车*1000,10000,装备/精铁宝箱/乌桓地图,,7-10-1.sc/7-10-3.sc,袁尚因冀州被曹操攻下，败走投袁熙，此时，袁谭在南皮集结重兵意欲反攻，你决定主动出击，剿灭袁谭势力。,7,0xc5f2
86,,,远征乌桓,消灭蹋顿,重步兵*2000/近卫兵*3000/骁骑兵*6000/铁骑兵*4000/弩骑兵*3000/重弩车*1600,19600,装备/战鼓/将神魂,,,南皮之战后，袁谭战亡。你收到袁尚和袁熙败走投乌桓的消息，大为震怒，决定率军踏平乌桓。,5,0xc897
87,8,1,关羽归刘,击退夏侯惇军队,近卫兵*2000/近卫兵*2000/骁骑兵*2800/铁骑兵*1500/弩骑兵*1500,9800,装备/活血丹/玉露/贪官罪证,,8-1-1.sc/8-1-2.sc/8-1-3.sc,在府邸收到副将消息，关羽离开曹操，过五关斩六将。我怕前线将士不知曹操口谕，特地前去传令。,8,0xcb11
88,8,2,山越作乱,击溃山越抓到山越头目,重步兵*2200/重步兵*2200/近卫兵*2000/近卫兵*2000/强弩兵*1800,10200,装备/活血丹/玉露/贪官罪证,,8-2-1.sc/8-2-2.sc/8-2-3.sc,曹操送离我前往扬州平乱，我军至半路遇山越围攻。,8,0xcd70
89,8,3,涂县遭围,消灭围堵涂县的山越军队,重步兵*2000/重步兵*2000/近卫兵*3000/骁骑兵*2500/骁骑兵*2500/强弩兵*2000/强弩车*1200,15200,装备/活血丹/玉露/贪官罪证,,8-3-1.sc/8-3-3.sc,我军在涂县驻扎，半夜突然受到山越围攻，急忙领军突围。,7,0xcf94
90,8,4,进攻阴陵,击败阴陵越贼,近卫兵*1500/骁骑兵*2400/骁骑兵*2400/铁骑兵*2000/弩骑兵*1800,10100,装备/活血丹/玉露/贪官罪证,,8-4-1.sc/8-4-3.sc,刘备为我军解围后，投荆州刘表而去，我军则进攻阴陵。,7,0xd1e3
91,8,5,降服山越,降服山越,重步兵*2000/重步兵*2000/近卫兵*2000/弩骑兵*2000/强弩车*1500,9500,装备/活血丹/玉露/贪官罪证,,8-5-1.sc/8-5-3.sc,我军来到了山越的大本营后，与山越族长展开了一场战斗。,7,0xd3fe
