scene_file,exists,size,version,declared_len,command_count,string_count,actor_candidates,dialogue_preview,stage_refs,note
1-4-3.sc,yes,818,1,810,27,10,刘备 / 关羽 / 张飞 / 孙坚 / 曹操,张  飞：灭的真痛快！ | 曹  操：真是一场硬仗啊。 | 关  羽：恐怕这只是敌人的先锋军，我们须得转守为攻，主动消灭各山贼势力才是。 | 刘  备：云长说的不错。 | 曹  操：事不宜迟，诸位请立即与我面奏圣上！,5:守卫洛阳,
1-5-1.sc,yes,822,1,814,29,5,,洛阳一战之后，贼党似乎销声匿迹了 | 骑  兵：是啊，我们巡查多日却一无所获 | 站住！你们是什么人？ | 大人，我们是涿郡居民，山贼来犯，我们趁乱逃了出来… | 将士们！山贼现在在涿郡作乱，我们灭过去！,6:涿郡遇贼,
1-5-2.sc,yes,687,1,679,23,4,邓茂,大胆山贼！为害百姓犯上作乱，你可知罪？！ | 邓  茂：皇帝昏庸无道，百姓受苦，我等是替天行道！大汉气数已尽！苍天已死，黄天当立，岁在甲子，天下大吉！ | 逆贼顽固不化！看我消灭你！,,
1-5-3.sc,yes,833,1,825,31,7,刘备 / 关羽 / 张飞,自作孽，不可活！ | 刘  备：听闻将军在此与山贼大战，玄德特来助阵。 | 哈哈，玄德兄来迟了一步，山贼已被消灭了，现在随我入城安民吧 | 刘  备：将军作战雷厉风行，玄德佩服。,6:涿郡遇贼,
1-6-1.sc,yes,598,1,590,19,8,刘备 / 关羽 / 张飞,报！青州城遭山贼围攻，恳请将军速速前往救援！ | 知道了，下去吧。 | 看来得烦请玄德兄安抚涿郡百姓了。 | 刘  备：将军请安心。 | 好，我这就动身前往青州，就此告辞,7:青州解围,
1-6-2.sc,yes,290,1,282,15,1,,将士们！前面就是青州城。,7:青州解围,
1-6-3.sc,yes,430,1,422,14,3,,众将士辛苦了！青州城解围了！ | 胜利！胜利！... | 连日征战，将士们都辛苦了！我们进城去好好休息一番！养好了精神，我们继续和山贼党一较高下！,7:青州解围,
1-7-1.sc,yes,1444,1,1436,49,9,张曼成,此山贼将领名叫张曼成，非常骁勇，我军兵力少，不可力敌。宛城粮仓就在不远处，防守薄弱，是个不错的目标。 | 将士们！跟我去攻打粮仓！ | 不好了！粮仓遭创了！ | 张曼成：什么！太可恶了！立即出城灭敌！ | 贼军听闻粮仓被烧，必然出城！现派几名军士伪装成山贼，诱骗敌军到城外树林中，伏兵灭之！,8:宛城对决,
1-7-2.sc,yes,487,1,479,22,3,张曼成,张曼成：不好！遭埋伏了！ | 贼党！今天就是你们的死期！,8:宛城对决,
1-7-3.sc,yes,325,1,317,12,2,张曼成,张曼成率领的贼党已经被消灭了！大家现在随我攻城！剿灭城里的山贼乱党！,8:宛城对决,
1-8-1.sc,yes,427,1,419,17,3,,山 贼：大家死守住宛城啊！与敌人决一死战！ | 将士们！趁胜追击！夺回宛城！ | 灭啊！,9:攻打宛城,
1-8-2.sc,yes,643,1,635,23,4,邓茂,大胆山贼！竟然反抗朝廷！ | 皇帝昏庸无道，百姓受苦，我等乃是替天行道！大汉气数已尽！苍天已死，黄天当立，岁在甲子，天下大吉！ | 逆贼！看我消灭你！,,
1-8-3.sc,yes,668,1,660,16,7,,今日大破宛城！传令犒赏三军！ | 是！ | 信  使：皇甫嵩将军与贼军首领张宝张梁战于曲阳，苦战多日，听说您屡战屡胜，特来请求支援。 | 既如此，请回命皇甫将军，我将出兵支援！ | 信  使：谢将军！,9:攻打宛城,
1-9-1.sc,yes,667,1,659,27,8,皇甫嵩 / 程远志 / 韩忠 / 赵弘,皇甫将军！某前来助阵！ | 天助我也！今天必破山贼！ | 糟！敌人援军来了！大家先撤！ | 贼将休跑！,10:救援曲阳,
1-9-3.sc,yes,526,1,518,13,8,赵弘 / 韩忠 / 程远志 / 皇甫嵩,皇甫嵩：将军及时驰援，感激不尽。 | 皇甫将军言重了，现在情况如何？ | 皇甫嵩：张宝张梁龟缩城中，得知三员大将被斩，恐怕会撤退。我们应趁势追击，斩草除根！ | 将军所言甚是！,10:救援曲阳,
1-10-1.sc,yes,548,1,540,20,6,张梁 / 张宝,张  宝：不好！看来敌军很强！ | 张  梁：那就施本教秘术！看他如何破！ | 活捉张梁张宝者，重重有赏！ | 冲啊！！！,11:曲阳退敌,
1-10-2.sc,yes,409,1,401,18,5,张梁 / 张宝 / 皇甫嵩,皇甫嵩：敌军使用妖法！ | 我来助将军破法！,11:曲阳退敌,
1-10-3.sc,yes,1214,1,1206,49,8,张梁 / 张宝,张  宝：不好！支撑不下去了，我们快撤！ | 张  梁：撤，留得青山在，不怕没柴烧！ | 哼！给我追！ | 报！朱儁在广宗与张角作战失利，皇上派遣将军前去支援！ | 好！进军广宗！消灭张角！,11:曲阳退敌,
1-11-1.sc,yes,1042,1,1034,46,6,朱儁 / 张角,朱  儁：可恶张角，居然如此难缠！ | 朱将军！我来助你！ | 朱  儁：援军到了！全体奋力向前！灭！ | 张  角：来再多我也不放在眼里！,12:增援广宗,
1-11-2.sc,yes,594,1,586,30,3,朱儁 / 张角,张  角：不好！敌军好强！撤军！,,
1-11-3.sc,yes,769,1,761,28,6,朱儁,差一点就能活捉张角了！ | 御  使：圣旨到！ | 御  使：奉天承运，皇帝诏曰，朱儁屡战不胜，现命你即刻回朝复命！ | 朱  儁：……领命！ | 山贼敌军必会反扑，命三军时刻戒备！,12:增援广宗,
1-12-1.sc,yes,716,1,708,23,7,张角 / 张宝 / 张梁,张  梁：大哥！我们来增援你！ | 张  角：太好了！今天让我们跟敌军决一死战！ | 张角张宝张梁都到齐了，很好！这次将他们一网打尽！将士们！活捉到张角张宝张梁者！重重有赏！进军！ | 骑  兵：冲啊！杀啊！,,
1-12-3.sc,yes,718,1,710,22,8,张角 / 张梁 / 张宝,哈哈，现今活捉了张家三兄弟！山贼贼寇尽除了！ | 张  角：哼！汉朝如此腐败！今天我们被抓，有死而已！ | 叛国祸世之罪，无可赦！ | 山贼首领已尽皆枭首！ | 今日大胜山贼贼寇，可奏凯歌！回城覆命！,,
2-1-1.sc,yes,1369,1,1361,35,12,何进 / 袁绍 / 御林军,袁  绍：何将军，以张让赵忠为首的宦官祸乱朝廷已久，为何不除掉他们？ | 何  进：我正有此意，奈何他们有太后包庇。我已召董卓进京助我清剿十常侍。 | 御林军：何将军！太后召您进殿议事。 | 袁  绍：恐怕是张让他们要谋害将军，千万不要去啊。 | 何  进：不要惊慌，我是大将军，手握天下兵马，他们敢对我如何？,4:宦官乱政,
2-1-3.sc,yes,1062,1,1054,42,8,袁绍 / 董卓 / 少帝,糟了，张让竟劫走了皇上！ | 袁  绍：不好了！快去救驾！ | 袁  绍：来者何人？ | 董  卓：西凉董卓。张让已被我灭了，现在护送圣驾回宫。 | 董  卓：让道！,4:宦官乱政,
2-2-1.sc,yes,587,1,579,14,8,卢植 / 袁绍 / 王允,袁  绍：董卓居然乱行废立之事！大逆不道，其心可诛！ | 王  允：可惜现在董卓手握重权，实在难以下手，唉。 | 董卓与我曾有一面之缘，或可寻机刺灭他。 | 王  允：将军有此救国之心，必将名垂青史！ | 看我把董卓的头颅带来！,14:刺灭董卓,
2-2-2.sc,yes,401,1,393,11,8,董卓 / 侍卫,董  卓：你是—— | 董太师别来无恙啊？ | 董  卓：原来是你。来此何事？ | 诛灭窃国逆贼！ | 董  卓：来人啊——有刺客！,14:刺灭董卓,
2-2-3.sc,yes,470,1,462,17,5,董卓 / 吕布,董  卓：我儿奉先何在？！ | 温侯吕布果然名不虚传，留得青山在不愁没柴烧，撤！ | 董  卓：快给我追！！,14:刺灭董卓,
2-3-1.sc,yes,579,1,571,26,2,,追  兵：你们插翅难飞！快快束手就擒！ | 哼！只是一小股追兵！弟兄们！干掉他们！,15:逃离洛阳,
2-3-3.sc,yes,494,1,486,15,4,,消灭了这支追兵，我们有些喘息的时间了，但此地不宜久留。 | 将军要去往哪里？ | 我想回归乡里，募集有志之士，共同讨伐国贼董卓 | 我等愿意誓死跟随！,15:逃离洛阳,
2-4-1.sc,yes,590,1,582,19,6,袁绍,听闻十八路诸侯骑兵讨伐董卓，我特来投奔！ | 袁  绍：欢迎至极！ | 袁  绍：前面是汜水关，未知守军虚实，你可以前去打探一下。 | 在下领命！ | 什么人？有人闯关！快去通报！,16:进军汜水关,
2-4-3.sc,yes,1074,1,1066,42,12,孙坚 / 公孙瓒 / 袁术 / 曹操 / 袁绍 / 刘焉 / 韩馥 / 陶谦 / 孔伷,敌军已经得知诸侯来到，汜水关守军众多，极难通过。 | 袁  绍：既然如此，先在汜水关外扎营，做作战准备。 | 袁  绍：各位诸侯行军疲惫，先在汜水关前扎营，以做战斗准备！,16:进军汜水关,
2-5-1.sc,yes,558,1,550,19,6,华雄 / 胡轸,华雄：以袁绍为首的十八路诸侯聚集在汜水关前，你们给我去试探虚实！ | 胡轸：是！在下遵命！ | 来者何人？ | 胡轸：某乃胡轸，前来取你小命！,17:营地攻防战,
2-5-2.sc,yes,752,1,744,33,12,华雄 / 袁绍 / 孙坚 / 潘凤 / 曹操 / 俞涉 / 刘备 / 关羽 / 张飞,小小鼠辈们，敢和华某较量一番否？ | 敌军气势甚嚣张，谁敢应战？ | 小将愿往！,,
2-5-3.sc,yes,609,1,601,23,5,斥候 / 华雄,斥  候：报，华将军！胡将军和敌军大战，不幸阵亡！ | 华雄：真是靠不住的家伙！看来我要亲自出马。 | 华  雄：上,17:营地攻防战,
2-6-1.sc,yes,1414,1,1406,56,17,华雄 / 袁绍 / 孙坚 / 俞涉 / 曹操 / 潘凤 / 刘备 / 关羽 / 张飞,华  雄：“鼠辈们，谁敢和华某较量？” | 袁  绍：敌军气焰很嚣张，谁敢去应战 | 俞  涉：小将愿往！ | 袁  绍：不好！俞涉被斩了！ | 潘  凤：让潘某前去报仇！,18:征讨华雄,
2-6-2.sc,yes,513,1,505,18,7,袁绍 / 刘备 / 关羽 / 张飞,袁  绍：“此战大获全胜，士气大盛！现在是破关的好时机！” | 盟主请下令立刻进兵汜水关！ | 袁  绍：全军进攻！,,
2-6-3.sc,yes,424,1,416,17,7,袁绍 / 刘备 / 关羽 / 张飞 / 华雄,此战大获全胜，士气极盛！现在是进攻的好时机！ | 全军进攻！,18:征讨华雄,
2-7-1.sc,yes,455,1,447,17,8,袁绍 / 曹操 / 张飞 / 刘备 / 关羽,袁  绍：进攻！把汜水关给我攻下来！ | 我来打头阵！ | 大家死守住汜水关！击退来军！,19:击破汜水关,
2-7-2.sc,yes,374,1,366,17,6,袁绍 / 曹操 / 张飞 / 刘备 / 关羽,袁  绍：守军已败，立刻攻破城门！,,
2-7-3.sc,yes,542,1,534,11,8,袁绍 / 曹操 / 张飞 / 刘备 / 关羽,袁  绍：汜水关已经攻破！但董贼往虎牢关方向逃去！望诸位不辞辛苦，追击董贼！ | 曹  操：董贼擅自废立，颠覆朝纲，导致民怨连天！现在联军攻下了汜水关，士气正盛，可以趁势追击！ | 刘  备：为汉室社稷，我等在所不辞！,19:击破汜水关,
2-8-1.sc,yes,1138,1,1130,41,13,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞,报！四面发现董卓军队拦截，我军已被围住！ | 袁  绍：这可如何是好…… | 曹  操：不要惊慌，这些军队杂乱无章，没有多大的战斗力，只要逐个击破就行了。 | 袁  绍：孟德说的有道理，传我军令，四面突围！ | 领命，小将先行一步！,20:兵进虎牢关,
2-8-3.sc,yes,937,1,929,44,10,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞,董贼的拦截军已经被消灭殆尽了。 | 袁  绍：如此甚好，全军前进！,20:兵进虎牢关,
2-8-12.sc,yes,1138,1,1130,41,13,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞,报！四面发现董卓军队拦截，我军已被围住！ | 袁  绍：这可如何是好…… | 曹  操：不要惊慌，这些军队杂乱无章，没有多大的战斗力，只要逐个击破就行了。 | 袁  绍：孟德说的有道理，传我军令，四面突围！ | 领命，小将先行一步！,,
2-9-1.sc,yes,1191,1,1183,48,13,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞 / 樊稠,来军止步！为何要反抗朝廷！ | 袁  绍：董卓玩弄专权，擅自废立，天下人都知道他意图簒逆！我们特来消灭国贼！ | 废话少说！看我取你性命！ | 量你鼠辈，也敢与我交战！,21:虎牢拉锯战,
2-9-3.sc,yes,1113,1,1105,45,11,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞,袁绍：来的都是无名小卒，我军屡战屡胜！现在已经逼近虎牢关了，应该一鼓作气，将虎牢关拿下！只要破了虎牢关，洛阳就近在眼前！ | 曹  操：擒拿董卓之日不远了！ | 继续行军！,21:虎牢拉锯战,
2-10-1.sc,yes,1346,1,1338,47,16,关羽 / 公孙瓒 / 刘备 / 张飞 / 袁绍 / 孙坚 / 曹操 / 袁术 / 吕布,吕  布：哼！你们这群乌合之众，我灭你们就像捏死蚂蚁一样容易，今天老子网开一面，你们现在回头还来得及。 | 公孙瓒：小子也敢说大话！看招！ | 公孙瓒：好强！我先撤退！ | 张  飞：三姓家奴！我来取你性命！ | 关  羽：三弟当心！我来助战！,22:人中吕布,
2-10-3.sc,yes,738,1,730,36,4,袁绍 / 曹操 / 孙坚,袁  绍：吕布败退了！联军冲灭啊！把虎牢关给我拿下！,22:人中吕布,
2-11-1.sc,yes,591,1,583,22,5,袁绍,袁  绍：攻城车准备！上前去！把虎牢关的门给我撞开！ | 大家守住虎牢关！不要让敌人通过！ | 袁  绍：有阻击的敌军！ | 我去解决掉他们！,23:攻破虎牢关,
2-11-3.sc,yes,969,1,961,18,13,袁绍 / 孙坚 / 曹操 / 刘备 / 关羽 / 张飞 / 将领,袁  绍：虎牢关已经攻下了！董贼逃到了洛阳！诸位都辛苦多日，就在关上先休息一夜，明早即刻出发前往洛阳！ | 曹  操：不可啊！若董卓逃亡洛阳，必定有所行动，此时不前往追击，再后就来不及了。 | 袁  绍：孟德多虑了，洛阳就在眼前，董卓已是瓮中之鳖，擒住他是迟早的事。我军连日征战，已经疲惫不堪了，再勿多言了。 | 曹  操：唉！竖子不足与谋！ | 待我前去拿下董贼的狗头！,23:攻破虎牢关,
2-12-1.sc,yes,867,1,859,20,9,董卓 / 吕布 / 李儒,董  卓：联军势大，已经夺取了虎牢关，我等危矣。 | 李  儒：太师不必惊慌，我有一计。我们连夜将皇帝带走，迁都长安，一把火将洛阳烧成灰烬，联军必然想不到。 | 董  卓：此计大妙啊！可立即执行。 | 董  卓：若有联军追来怎么办？ | 李  儒：太师放心，我已沿路安排伏兵，我们可安然到长安。,,
2-12-2.sc,yes,420,1,412,22,1,,糟糕！有伏兵！快迎战！,,
2-12-3.sc,yes,526,1,518,15,4,,可恶！一场恶战消耗了我军太多元气，看样子董贼真的逃到长安去了。 | 将军，该怎么办？ | 既然董贼必然到长安，那么我们就不用太急，先就地扎营休息，然后朝长安前行！ | 是！,,
3-1-1.sc,yes,638,1,630,26,3,,函谷关就在前面了，这是到达长安的第一道屏障，要尽力攻打下来！ | 不好！有伏兵！准备战斗！ | 消灭他们！,25:函谷关伏兵,
3-1-3.sc,yes,424,1,416,14,3,,接二连三的伏兵消耗了太多兵力，要拿下函谷关只能用智取了。 | 将军有什么良策？ | 待我先好好巡视一下函谷关的地形。,25:函谷关伏兵,
3-2-1.sc,yes,1270,1,1262,41,9,,报！敌军在二十里外扎营！似乎要做长期作战！ | 守住函谷关是重要任务，趁现在他们还未扎稳脚跟，立刻出击！ | 那将军的意思是？ | 长期作战所需要的是粮草，没有粮草，敌军就坚持不了多久。敌军现在粮草在何处？ | 就在离敌方营寨十里的山谷中。,26:诱敌之计,
3-2-3.sc,yes,409,1,401,13,2,,敌方的主力已经全歼了，虽然损失了粮草，但是只要攻下函谷关，关内的粮草就都是我们的了！ | 大家一鼓作气！把函谷关拿下！,26:诱敌之计,
3-3-1.sc,yes,655,1,647,26,3,,进攻的时候到了！守关的主力军已经被我们消灭了！现在给我一举拿下函谷关！ | 冲啊！攻下函谷关！ | 一定要守住函谷关！,27:踏破函谷关,
3-3-3.sc,yes,437,1,429,14,2,,士  兵：我们攻下函谷关啦！关内的军备和粮草尽为我们所用了！ | 我们先入关休息！明日继续前进！进攻潼关！攻入长安！营救献帝！,27:踏破函谷关,
3-4-1.sc,yes,444,1,436,19,2,,你们是什么人？ | 重骑兵：我乃潼关守将，奉命前来消灭逆贼！,28:潼关苦战,
3-4-3.sc,yes,400,1,392,13,3,,好一场恶战，西凉骑兵果然名不虚传，损失了我好多兵力。 | 将军要不要暂回函谷关去补充兵力？ | 那就暂且先撤军。,28:潼关苦战,
3-5-1.sc,yes,838,1,830,26,6,,该死的潼关，让我损失了许多兵力！这次我一定要把潼关给攻下来！ | 大家提起十二万分的精神来！今天势必攻破潼关！ | 将军放心！今日誓死攻下潼关！ | 很好！大家有决心！攻破了潼关，我们就可以营救皇上！为大汉出一份力！ | 万岁万岁！,29:抢夺潼关,
3-5-3.sc,yes,403,1,395,15,2,,我们攻下潼关了！长安就在眼前！ | 接下来我要整顿军马！为营救皇上做准备！大家跟我入关去！,29:抢夺潼关,
3-6-1.sc,yes,752,1,744,23,6,,董卓已死，但长安的残余势力还很多，须设法分化他们，然后逐一击破 | 将军有何打算？ | 我意使离间计，我们假扮成张济部下，进攻郭汜军，现在就准备。 | 好了，记住，你们现在都是张济手下的军队！ | 是！,30:巧施离间计,
3-6-3.sc,yes,458,1,450,19,2,,哈哈！看郭阿多还敢骑在我头上！撤军！ | 这… 得快去禀报郭将军，张济意图谋反！,30:巧施离间计,
3-7-1.sc,yes,1103,1,1095,43,7,张济 / 郭汜,郭  汜：张济！你敢灭我部下！ | 张  济：这恐怕是你的借口吧！你早就忌惮我势力会大过你，所以想尽办法除掉我！ | 郭  汜：我官居车骑，何须忌惮你！你灭我部下，死吧！ | 张  济：郭汜势大，我还是先撤吧！ | 郭阿多休走！,31:长安内乱,
3-7-3.sc,yes,558,1,550,20,4,郭汜,郭  汜：可恶张济！居然埋伏我！看我来日要你脑袋！撤军！ | 穷寇莫追，这下他们的仇怨可结大了，哈哈哈哈！ | 撤退！我们静观其变！,31:长安内乱,
3-8-1.sc,yes,319,1,311,10,5,王允 / 吕布 / 我与你同去,王允：太师居然把将军之爱占为己有！禽兽不如！ | 吕布：我进去灭了他！,32:美人之争,
3-8-3.sc,yes,539,1,531,17,6,王允 / 吕布,吕  布：董卓已经被我灭了！貂蝉也救出来了. | 王  允：你们都是社稷的功臣啊！ | 世为汉臣，为国出力是为臣的本份。 | 王  允：我们一起去面见圣上吧。,32:美人之争,
3-9-1.sc,yes,719,1,711,28,7,王允 / 郭汜 / 李傕,王  允：李傕郭汜听说董卓死了，派兵前来问罪啊，如何是好啊。 | 我去摆平他们！ | 你们敢造反！ | 李  傕：郭汜，你拖住他！,33:李郭劫驾,
3-9-3.sc,yes,630,1,622,27,4,郭汜,郭  汜：好了！不陪你玩过家家了，撤退！ | 报！不好了！皇上被劫走了！司徒被灭了！ | 什么！,33:李郭劫驾,
3-10-1.sc,yes,492,1,484,21,2,,报！郭汜和李傕意见不和，正在相互对峙！ | 好机会！趁他们不和，正好可以营救皇上！,34:长安救驾,
3-10-3.sc,yes,555,1,547,20,4,献帝,微臣救驾来迟！请皇上恕罪！ | 献  帝：爱卿无罪，乃社稷功臣。 | 此地不宜久留，李傕郭汜一旦察觉，必然来追，微臣护送皇上离开。,34:长安救驾,
3-11-1.sc,yes,854,1,846,25,7,献帝,今日要回洛阳，只能从武关绕路，前方就是武关，但有重兵把守，今日到此，必须全力攻破！ | 愿死战！ | 好！大家努力！一鼓作气将武关攻下！ | 皇上，我等前去攻下武关！以保皇上还都洛阳！ | 献  帝：今日祸端，朕之过，有劳爱卿辛苦，朕于心不忍。,35:逃遁入武关,
3-11-3.sc,yes,445,1,437,18,3,献帝,皇上，今日武关已攻下，现请皇上入关暂且先休息。 | 献  帝：爱卿如此忠心，朕十分欣慰。,35:逃遁入武关,
3-12-1.sc,yes,728,1,720,31,4,,报！前方发现追兵。 | 这么快就追来了，准备迎战！ | 追  兵：快把皇帝交出来！ | 不可能！将士们！消灭他们！,36:追兵歼灭战,
3-12-3.sc,yes,575,1,567,21,5,献帝 / 是,献  帝：爱卿没事吧。 | 来李郭两人的大部队快来了，皇上，我们快继续行军，这里不可久留啊。 | 献  帝：好，那立刻行军吧。,36:追兵歼灭战,
3-13-1.sc,yes,1040,1,1032,43,8,献帝 / 李傕 / 郭汜,糟了，他们追上了，皇上请退后，我来挡住他们！ | 李  傕：快把皇帝交出来！ | 痴心妄想！ | 李  傕：那别怪我得罪了！军士们！给我灭！ | 大家保护皇上！灭呀！,37:争夺献帝,
3-13-3.sc,yes,760,1,752,30,10,献帝 / 李傕 / 郭汜 / 曹操 / 夏侯渊 / 夏侯惇,李  傕：放弃吧！你已经没有多少兵力了！ | 战死也不投降！ | 曹  操：贼人休要伤害皇上！ | 李  傕：援兵！糟了！撤军！,37:争夺献帝,
3-14-1.sc,yes,794,1,786,23,11,献帝 / 曹操 / 夏侯渊 / 夏侯惇,曹  操：臣救驾来迟，皇上受惊了。 | 献  帝：爱卿救驾来的正是时候啊。 | 报！各路诸侯听闻天子被劫，纷纷派兵前来，不知是劫驾还是救驾。 | 献  帝：这… | 曹  操：皇上勿惊，待臣前去查探。,,
3-14-2.sc,yes,378,1,370,17,3,,你们是何人？ | 听闻献帝在此，快交出来！ | 休想！,,
3-14-3.sc,yes,798,1,790,31,7,献帝 / 夏侯惇 / 曹操 / 夏侯渊,皇上受惊了。 | 曹  操：皇上，诸侯已被我打发，洛阳现在已成废墟，不如到许昌。那里地大富庶，宜为新都城。 | 献帝：既然如此，那就往许昌去吧。,,
4-1-1.sc,yes,476,1,468,11,4,,步  兵：将军，曹公的父亲在徐州被灭，曹公已经派兵前往徐州问罪了。 | （曹操对我有赠兵之恩，他的父亲在徐州被害了，或许跟陶谦有关系，我得去看看。） | 传我令！前往徐州！ | 步  兵：是！,39:曹操兴兵,
4-1-2.sc,yes,779,1,771,27,10,陶谦 / 曹操 / 夏侯惇 / 典韦 / 于禁,曹  操：陶谦！你灭我父亲，此仇不共戴天！ | 陶  谦：是我手下张闿做的事，我毫不知情。 | 曹  操：何须多言！ | 步  兵：曹丞相和陶谦打起来了。 | 快去支援！,39:曹操兴兵,
4-1-3.sc,yes,694,1,686,24,9,陶谦 / 曹操 / 典韦 / 夏侯惇 / 信使,曹  操：陶谦！你还有什么话说！？ | 信  使：报！濮阳被吕布袭击了！ | 曹  操：什么？濮阳一失，我等都无家可归了。 | 曹  操：今日且饶你一命！,39:曹操兴兵,
4-2-1.sc,yes,596,1,588,13,5,,信  使：将军！丞相得知消息，吕布已经袭击并占领了濮阳. | 信  使：丞相进军收复濮阳，希望将军前去支援。 | 嗯，知道了，我当亲自领兵和丞相汇合。 | 信  使：那小人前去回禀丞相，望将军早日来援。 | （吕布必将是心腹大患，我得尽快前往濮阳了。）,40:回救濮阳,
4-2-3.sc,yes,494,1,486,12,5,曹操,丞相，吕布军的先锋已经被我打退。 | 曹  操：辛苦将军了，吕布攻占了濮阳，不过吕布勇而无谋，收复濮阳我已成竹在胸。 | 既然如此，那我去吕布退军的必经之路埋伏。 | 曹  操：如此甚好！,40:回救濮阳,
4-3-1.sc,yes,437,1,429,22,4,吕布 / 魏续 / 侯成,魏  续：主公！你先走！,41:攻破濮阳,
4-3-3.sc,yes,516,1,508,20,4,曹操,曹  操：将军得胜归来啦。 | 丞相如何在此等候？ | 曹  操：皇上感你忠心，特封你为中郎将，快随我还都谢恩吧。,41:攻破濮阳,
4-4-1.sc,yes,639,1,631,15,8,献帝 / 曹操,曹  操：皇上，扬州袁术进来招兵买马，不断扩充势力，只怕有不臣之心。 | 献  帝：朕也忧心，爱卿可有妙策？ | 曹  操：近来刘备得陶恭祖让与的徐州，不如派其前去平定袁术？ | 献  帝：爱卿可自行定夺。 | 曹  操：有劳将军前去协助刘备。,42:讨伐袁术,
4-4-2.sc,yes,487,1,479,21,3,斥候,斥  候：报！前方发现袁术先锋大将张勋！ | 那就先拿他开刀！,42:讨伐袁术,
4-4-3.sc,yes,745,1,737,27,8,张勋 / 刘备 / 关羽 / 张飞,刘备：刘备来迟了！ | 别来无恙，玄德兄，今日是为国效力，望两军合作愉快。 | 刘备：那是自然，袁术意图谋取徐州，我为徐州百姓忧心。 | 那么我们就齐攻袁术！,42:讨伐袁术,
4-5-1.sc,yes,366,1,358,15,5,刘备 / 关羽 / 斥候,斥  候：报！袁术大将纪灵领兵前来！ | 我们前去迎战！,43:屯兵小沛,
4-5-3.sc,yes,488,1,480,13,8,刘备 / 关羽 / 张飞,袁术军被打退了。 | 张  飞：大哥！徐州被吕布那厮给夺了！我.... | 刘  备：什么！这…… | 刘  备：徐州已失，怎么与袁术军作战？ | 我们先回小沛再做打算吧。,43:屯兵小沛,
4-6-1.sc,yes,946,1,938,27,11,刘备 / 关羽 / 张飞 / 吕布,吕  布：刘备！你居然抢我马匹！ | 刘  备：吕将军息怒，我并不知情啊。 | 吕  布：问问你的好三弟！ | 张  飞：哼！你夺我哥哥徐州就行，我夺你马匹就不行？ | 吕  布：那就不要怪我不客气了！,44:马匹劫掠战,
