domain,container,field,canonical_name,type,sync_source,meaning,confidence,evidence,server_rebuild_note,source
global/player,scriptPages/data/g,H,账号积分,long,readLong in i.b; award m0.u; a0.a.c2,账号积分,high,data.g.v0(-14) 通过 f8[13] 返回“账号积分”；data.g.w0(-14) 返回 g.H；i.b/m0.u/a0.a.c2 同步 H；玉石另为 item_id=399,作为 account_points / 账号积分全局字段保存；不要与玉石道具 item_id=399 混淆,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,tv[fief],单封地产钱/小时最终显示值,int,readInt in Lo/a.Y5,单封地产钱/小时最终显示值,high,q.L and q.u labels di_标题产钱/di_封地产钱 display tv with /小时,服务端计算每封地最终产量后下发,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,uv[fief],单封地产粮/小时最终显示值,int,readInt in Lo/a.Y5,单封地产粮/小时最终显示值,high,q.L and q.u labels di_标题产粮/di_封地产粮 display uv with /小时,服务端计算每封地最终产量后下发,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,yv/zv[fief],驻防当前/上限,short,readShort in Lo/a.Y5,驻防当前/上限,high,q.L label di_驻防 displays yv/zv,出征/驻防变化后同步,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,Kv/Lv[fief],封地闲兵库存,byte[]/int[],read repeated byte+int in Lo/a.Y5,封地闲兵库存,high,q.L label di_闲兵 calls Lo/a.o4=sum(Lv); p.M0 updates Kv/Lv,征兵/补兵/战斗回城后同步,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,Mv/Nv[fief],第二组兵力池，疑似伤兵/预备兵,byte[]/int[],read repeated byte+int in Lo/a.Y5,第二组兵力池，疑似伤兵/预备兵,low-medium,Y5 reads parallel type/count map; Lo/a.Y2 reads Mv/Nv,需后续追治疗/伤兵 UI,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,Bv/Cv/Dv,铜钱增产状态,byte + byte[] + long[],read in Lo/a.k1,铜钱增产状态,high,building_output_formula_report 已确认；k1 三组第一组,结束时间/增产倍率由服务端维护,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,Ev/Fv/Gv,粮食增产状态,byte + byte[] + long[],read in Lo/a.k1,粮食增产状态,high,building_output_formula_report 已确认；k1 三组第二组,同上,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
fief,Lo/a,Hv/Iv/Jv,建筑队列/同时建设加成状态,byte + byte[] + long[],read in Lo/a.k1,建筑队列/同时建设加成状态,high,building_output_formula_report 已确认；k1 三组第三组,同上,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
player_limits,data.i,q,人口当前占用,long,i.x @ 0x0000e2 readLong -> q; i.b tag=6 readLong -> q,人口当前占用,high,UI: q.u 显示 di_人口占用: q/r；k0.o 首页资源摘要也显示 q/r Logic: g.z0/q.p0 用 r-q 作为征兵人口上限约束,作为账号/角色级当前人口占用同步；征兵、解散、伤兵恢复等会改变该值。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
player_limits,data.i,r,人口上限,long,i.x @ 0x0000ee readLong -> r; i.b tag=7 readLong -> r；i.z 也在资源/人口短同步中读入 r,人口上限,high,"UI: q.u 显示 di_人口占用: q/r；k0.o 首页资源摘要也显示 q/r Logic: g.z0/q.p0 用 r-q 计算可招数量；Lo/a.P1(fief,0) 是封地局部人口上限，不等于全局 r",登录和关键同步时下发全局人口上限；具体生成公式仍需继续追建筑/科技/称号/VIP/官职。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
player_limits,data.i,u,资源点当前占用/当前数量,int/readByte,i.x @ 0x000112 readByte -> u; i.b tag=13 readByte -> u,资源点当前占用/当前数量,high,UI: k0.o 在 di_标题资源点 行显示 u/v Logic: 目前主要用于标题/摘要显示，未见本地占领结算公式,作为玩家已占资源点数量同步；占领/放弃资源点后更新。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
player_limits,data.i,v,资源点上限,byte,i.x @ 0x00011e readByte -> v; i.b tag=14 readByte -> v,资源点上限,high,UI: k0.o 在 di_标题资源点 行显示 u/v Logic: 目前主要用于标题/摘要显示，未见本地生成公式,作为玩家可占资源点上限同步；生成公式仍需动态样本/成长表深追。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
player_limits,data.i,s,封地上限,int/readByte,i.x @ 0x0000fa readByte -> s; i.b tag=8 readByte -> s,封地上限,high,UI: k0.o 在 di_标题封地 行显示 Lo/a.s2().length / s Logic: data.i.h() 直接返回 s,作为玩家封地上限同步；和君主等级/声望/官职等成长条件的公式仍待追。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
player_limits,data.i,t,将领上限,int/readByte,i.x @ 0x000106 readByte -> t; i.b tag=9 readByte -> t,将领上限,high,UI: z.o 在 di_将领数 显示 Lo/a.M2(0).length / t；k0.o 将领区域也显示将领数/上限 Logic: data.i.w() 直接返回 t；gameHD/k.l、gameHD/g.f 等界面引用 t,作为玩家可拥有/显示将领上限同步；扩展空位、官职/VIP/道具叠加公式待追。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv
equipment_state,LscriptPages/data/d;,a,静态属性名表,[String],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,攻击/生命/防御/统兵；按 Lo/a.S4(e) 的属性类型索引。,high,LscriptPages/data/d;-><clinit>()V@0x0060:sput-object || LscriptPages/data/g;->b2(JJ)V@0x0008:sget-object || LscriptPages/data/g;->c3()V@0x06ca:sget-object || LscriptPages/data/g;->c3()V@0x07b6:sget-object || LscriptPages/data/g;->c3()V@0x08da:sget-object || LscriptPages/data/g;->s4(Ljava/lang/String;)V@0x000c:sget-object || LscriptPages/game/z;->j()V@0x014e:sget-object || LscriptPages/gameHD/b;->C()V@0x0112:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,b,静态品质名表,[String],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,普通/良好/优秀/卓越；由 f[bank][slot][0] 索引。,high,Lo/a;->Z0()V@0x0300:sget-object || LscriptPages/data/d;-><clinit>()V@0x00b8:sput-object || LscriptPages/data/d;->u(J)Ljava/lang/String;@0x000e:sget-object || LscriptPages/data/d;->v(I)Ljava/lang/String;@0x0000:sget-object || LscriptPages/game/k0;->l()V@0x03d0:sget-object || LscriptPages/game/k0;->l()V@0x05aa:sget-object || LscriptPages/game/k0;->l()V@0x08a0:sget-object || LscriptPages/game/k0;->q()V@0x0460:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,c,空字符串/全局显示缓存候选,String,Lo/a.V5 bank0 and/or Lo/a.c6 bank1,初始化为空；被少量 UI 读取，语义待复核。,low,LscriptPages/data/d;-><clinit>()V@0x00c0:sput-object || LscriptPages/game/k0;->f0()I@0x03da:sget-object || LscriptPages/game/k0;->f0()I@0x056a:sget-object || LscriptPages/game/z;->y()V@0x029a:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,d,装备实例 id,[[J],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,bank0 由 V5 全量重建；bank1 由 c6 维护。,high,Lo/a;->V5(Ljava/lang/String;)V@0x008c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0132:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0236:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x032c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03d0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0080:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x008e:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00f6:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,e,装备模板 id,[[S],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,用于 g3/S4/z1 等静态装备表映射名称、图标、属性类型、基础值。,high,Lo/a;->V5(Ljava/lang/String;)V@0x0098:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x013e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x033e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03d8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00ac:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x020c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02b4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0454:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,f,品质与强化向量,[[[B],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,f[][0]=品质 index；f[][1]=强化等级/强化值。,high,Lo/a;->V5(Ljava/lang/String;)V@0x00a4:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x015a:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0170:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x02b2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x02d8:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x034e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03e0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00b8:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,g,强化效果百分比候选,[[S],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,"装备页以 g/100 + ""."" + g%100 + ""%"" 形式显示“强化效果”。",high,Lo/a;->V5(Ljava/lang/String;)V@0x00b0:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x018e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x035e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03e8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00c4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0224:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02cc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0474:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,h,强化失败风险向量,[[[B],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,"p(J,false) 返回 h[][0]，装备页显示失败掉级率/失败损毁率百分比；h[][1] 未命名。",high,Lo/a;->V5(Ljava/lang/String;)V@0x00bc:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01a2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01ba:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x036e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03f0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00d0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0230:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02d8:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,i,强化保底次数向量,[[[I],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,装备页显示“强化保底次数”并读取 i[][0]/i[][1]。,high,Lo/a;->V5(Ljava/lang/String;)V@0x00e0:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01e6:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01fe:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x037e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03f8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00dc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x023c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02e4:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,j,协议 short 参数,[[S],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,V5/c6 读取并重置；未发现 data.d accessor 使用，语义待复核。,low,Lo/a;->V5(Ljava/lang/String;)V@0x0100:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01d2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x038e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0400:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00e8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0248:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02f0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04a4:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,k,bank1 宿主反链,[J],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,c6 写入 host_id；r(J) 对 bank1 返回该 host_id。,high,Lo/a;->c6(Ljava/lang/String;)V@0x0116:sput-object || Lo/a;->c6(Ljava/lang/String;)V@0x011c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0254:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02fc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04b4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0514:sput-object || LscriptPages/data/d;->a(J)V@0x0024:sget-object || LscriptPages/data/d;->b(J)V@0x0086:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
